block_geoid_end,block_geoid_start,sl_dist,rn_total_sl_dist,rn_hisp_sl_dist,rn_nh_white_sl_dist,rn_nh_black_sl_dist,state_fips,geoid20,geoid,total
011170306162003,010010201001000,56.41714499325311,717882,31053,370281,279291,01,010010201001000,010010201001000,21
011170306071000,010010201001001,56.52941896658683,717846,31079,370178,279322,01,010010201001001,010010201001001,34
010810406052002,010010201001002,56.54017920702125,717895,31190,369734,280087,01,010010201001002,010010201001002,29
011170306072001,010010201001003,56.54413704131135,717796,31287,369748,279913,01,010010201001003,010010201001003,17
011210111003073,010010201001006,56.44262002759101,717740,31359,370096,279534,01,010010201001006,010010201001006,7
011056870021021,010010201001012,56.58296453805072,717758,31127,369774,279985,01,010010201001012,010010201001012,23
011210114001033,010010201001014,56.62191453091626,717721,31067,369862,279860,01,010010201001014,010010201001014,111
011170303063016,010010201001015,56.62093555618888,717418,30982,369637,279512,01,010010201001015,010010201001015,44
010810406071000,010010201001017,56.56582585120496,717794,30966,370059,279413,01,010010201001017,010010201001017,50
011170307011029,010010201001018,56.53231133249325,717756,31113,369719,279534,01,010010201001018,010010201001018,34
010810406032000,010010201001019,56.503171292826,718048,31126,369927,279609,01,010010201001019,010010201001019,19
011091890031022,010010201001021,56.88861214573265,717520,30942,369268,280301,01,010010201001021,010010201001021,125
010070100112037,010010201001022,57.095609265771,718387,30804,369591,280777,01,010010201001022,010010201001022,35
011210111003043,010010201001024,56.59751959979387,717754,31112,369774,279472,01,010010201001024,010010201001024,26
010810405022022,010010201002001,55.88719783113817,717757,32263,373031,275706,01,010010201002001,010010201002001,4
010139533002031,010010201002004,56.13501183959353,717743,31696,370990,278297,01,010010201002004,010010201002004,191
011091890033000,010010201002005,56.11301279306948,717762,31698,371008,278306,01,010010201002005,010010201002005,30
011170303192015,010010201002006,56.25718121656639,717758,31426,369887,279577,01,010010201002006,010010201002006,63
010810406052004,010010201002007,56.33867061428053,717690,31353,369710,279751,01,010010201002007,010010201002007,101
011056871003012,010010201002008,55.88178621224125,717671,31939,372770,276222,01,010010201002008,010010201002008,23
011170306072007,010010201002009,56.06031093795018,717789,31656,371042,278246,01,010010201002009,010010201002009,282
011170303192008,010010201002010,56.08552936353018,717776,31687,371061,278280,01,010010201002010,010010201002010,10
011170301031131,010010201002011,56.18177520763019,717750,31468,370422,279038,01,010010201002011,010010201002011,41
011170306153017,010010201002012,56.17137403033441,717791,31444,370314,279111,01,010010201002012,010010201002012,31
011170303192008,010010201002013,56.12412156119125,717783,31693,370981,278368,01,010010201002013,010010201002013,28
011210111003029,010010201002014,56.45182992576618,717703,31348,369582,279881,01,010010201002014,010010201002014,11
011210113011043,010010201002015,56.40075893078835,717753,31400,369773,279745,01,010010201002015,010010201002015,4
010810405022030,010010201002016,56.2091314991215,717702,31612,371288,278106,01,010010201002016,010010201002016,3
010179540012090,010010201002019,56.34301968916571,717738,31582,370515,278913,01,010010201002019,010010201002019,6
010070100112039,010010201002022,56.37430607608169,717748,31512,370398,279120,01,010010201002022,010010201002022,4
011210113011044,010010201002023,56.39890940750376,717748,31345,370157,279464,01,010010201002023,010010201002023,45
011210111003067,010010201002024,56.4418941653079,717723,31234,369606,279862,01,010010201002024,010010201002024,88
011091891013002,010010201002025,56.38199558686161,717767,31255,369622,279880,01,010010201002025,010010201002025,59
010279592001012,010010201002026,56.27727707065785,717083,31381,369449,279220,01,010010201002026,010010201002026,123
011091891013004,010010201002027,56.34294252251742,717763,31285,369970,279299,01,010010201002027,010010201002027,26
010070100012030,010010201002028,56.38702632140541,717773,31231,369961,279348,01,010010201002028,010010201002028,27